Draft Position,Fantasy League Id,Fantasy Team Id,Fantasy Player Id
1.01,1,12,422
1.02,1,3,300
1.03,1,8,463
1.04,1,16,472
1.05,1,2,370
1.06,1,12,227
1.07,1,23,206
1.08,1,15,1
1.09,1,4,291
1.1,1,11,398
1.11,1,18,70
1.12,1,9,230
1.13,1,7,68
1.14,1,6,207
2.01,1,6,371
2.02,1,7,248
2.03,1,9,437
2.04,1,18,381
2.05,1,11,336
2.06,1,4,364
2.07,1,12,333
2.08,1,2,58
2.09,1,16,270
2.1,1,8,309
2.11,1,3,428
2.12,1,1,362
3.01,1,1,239
3.02,1,3,75
3.03,1,8,382
3.04,1,16,208
3.05,1,2,98
3.06,1,12,268
3.07,1,23,111
3.08,1,15,186
3.09,1,4,383
3.1,1,11,259
3.11,1,7,326
3.12,1,6,242
4.01,1,6,350
4.02,1,7,194
4.03,1,9,384
4.04,1,4,12
4.05,1,12,64
4.06,1,2,267
4.07,1,16,20
4.08,1,8,369
4.09,1,3,159
4.1,1,1,285
5.01,1,1,67
5.02,1,3,226
5.03,1,8,33
5.04,1,2,10
5.05,1,12,484
5.06,1,23,82
5.07,1,15,498
5.08,1,4,445
5.09,1,11,475
5.1,1,18,41
5.11,1,9,366
5.12,1,7,301
5.13,1,6,282
6.01,1,6,289
6.02,1,7,209
6.03,1,9,78
6.04,1,11,158
6.05,1,4,377
6.06,1,15,61
6.07,1,12,23
6.08,1,11,449
6.09,1,16,368
6.1,1,8,210
6.11,1,3,284
6.12,1,6,385
7.01,1,1,146
7.02,1,3,213
7.03,1,8,245
7.04,1,2,464
7.05,1,12,16
7.06,1,15,420
7.07,1,4,386
7.08,1,11,211
7.09,1,18,266
7.1,1,9,413
7.11,1,7,486
7.12,1,6,54
7.13,1,18,109
8.01,1,6,24
8.02,1,7,280
8.03,1,9,212
8.04,1,18,418
8.05,1,11,387
8.06,1,4,315
8.07,1,15,432
8.08,1,12,427
8.09,1,2,388
8.1,1,16,424
8.11,1,8,262
8.12,1,3,214
8.13,1,1,273
9.01,1,1,180
9.02,1,3,129
9.03,1,8,125
9.04,1,16,346
9.05,1,2,55
9.06,1,12,74
9.07,1,23,478
9.08,1,15,283
9.09,1,4,168
9.1,1,11,87
9.11,1,18,181
9.12,1,9,389
9.13,1,7,405
9.14,1,6,199
10.01,1,6,429
10.02,1,7,51
10.03,1,9,314
10.04,1,18,349
10.05,1,11,224
10.06,1,4,120
10.07,1,15,152
10.08,1,23,45
10.09,1,12,215
10.1,1,2,193
10.11,1,16,56
10.12,1,8,488
10.13,1,3,390
10.14,1,8,189
10.15,1,9,293
11.01,1,12,175
11.02,1,3,187
11.03,1,8,337
11.04,1,16,216
11.05,1,2,251
11.06,1,12,328
11.07,1,23,313
11.08,1,15,243
11.09,1,4,217
11.1,1,11,412
11.11,1,18,373
11.12,1,9,260
11.13,1,7,505
11.14,1,6,147
11.15,1,23,160
12.01,1,6,151
12.02,1,7,290
12.03,1,9,496
12.04,1,18,6
12.05,1,11,257
12.06,1,4,254
12.07,1,15,312
12.08,1,12,482
12.09,1,2,458
12.1,1,16,391
12.11,1,8,85
12.12,1,3,490
12.13,1,1,401
12.14,1,11,76
13.01,1,1,453
13.02,1,3,322
13.03,1,8,22
13.04,1,16,439
13.05,1,2,494
13.06,1,12,274
13.07,1,23,237
13.08,1,15,105
13.09,1,4,278
13.1,1,11,499
13.11,1,18,250
13.12,1,9,29
13.13,1,7,113
13.14,1,1,321
13.15,1,1,489
14.01,1,6,63
14.02,1,7,365
14.03,1,9,329
14.04,1,18,485
14.05,1,11,218
14.06,1,4,178
14.07,1,15,311
14.08,1,23,421
14.09,1,12,287
14.1,1,2,84
14.11,1,16,295
14.12,1,8,483
14.13,1,3,455
14.14,1,1,246
14.15,1,23,261
15.01,1,3,25
15.02,1,8,348
15.03,1,16,138
15.04,1,2,307
15.05,1,1,200
15.06,1,23,341
15.07,1,15,352
15.08,1,4,219
15.09,1,11,491
15.1,1,18,442
15.11,1,9,170
15.12,1,7,319
15.13,1,6,357
15.14,1,23,296
16.01,1,6,480
16.02,1,7,277
16.03,1,9,103
16.04,1,18,469
16.05,1,11,53
16.06,1,4,400
16.07,1,15,378
16.08,1,23,474
16.09,1,12,361
16.1,1,2,438
16.11,1,16,179
16.12,1,8,292
16.13,1,3,31
16.14,1,1,392
17.01,1,1,11
17.02,1,3,95
17.03,1,8,502
17.04,1,16,229
17.05,1,2,7
17.06,1,12,393
17.07,1,23,73
17.08,1,15,69
17.09,1,4,256
17.1,1,11,4
17.11,1,18,410
17.12,1,9,205
17.13,1,7,394
17.14,1,6,169
17.15,1,23,379
17.16,1,23,503
17.17,1,23,153
18.01,1,6,468
18.02,1,7,294
18.03,1,9,148
18.04,1,18,249
18.05,1,2,440
18.06,1,4,476
18.07,1,15,
18.08,1,23,
18.09,1,1,
18.1,1,2,
18.11,1,16,
18.12,1,8,
18.13,1,3,
18.14,1,1,
18.15,1,18,
19.01,1,1,
19.02,1,3,
19.03,1,1,
19.04,1,16,
19.05,1,2,
19.06,1,12,
19.07,1,23,
19.08,1,15,
19.09,1,4,
19.1,1,11,
19.11,1,18,
19.12,1,9,
19.13,1,7,
19.14,1,6,
19.15,1,18,
19.16,1,15,
19.17,1,16,
20.01,1,6,
20.02,1,7,
20.03,1,9,
20.04,1,11,
20.05,1,4,
20.06,1,15,
20.07,1,23,
20.08,1,12,
20.09,1,2,
20.1,1,16,
20.11,1,8,
20.12,1,3,
20.13,1,1,
20.14,1,16,
20.15,1,15,
20.16,1,18,
1.01,2,28,300
1.02,2,20,206
1.03,2,27,422
1.04,2,17,1
1.05,2,10,370
1.06,2,14,227
1.07,2,21,472
1.08,2,13,463
1.09,2,5,371
1.1,2,22,291
1.11,2,25,398
1.12,2,26,207
1.13,2,24,230
1.14,2,19,248
2.01,2,19,437
2.02,2,24,70
2.03,2,26,364
2.04,2,25,242
2.05,2,22,186
2.06,2,5,381
2.07,2,13,333
2.08,2,21,58
2.09,2,14,336
2.1,2,10,12
2.11,2,17,98
2.12,2,27,270
2.13,2,20,259
2.14,2,28,362
2.15,2,27,382
2.16,2,26,428
3.01,2,28,268
3.02,2,20,369
3.03,2,27,75
3.04,2,17,239
3.05,2,10,64
3.06,2,14,309
3.07,2,21,111
3.08,2,13,267
3.09,2,5,484
3.1,2,22,159
3.11,2,25,33
3.12,2,26,208
3.13,2,24,383
3.14,2,19,326
3.15,2,10,194
3.16,2,28,226
4.01,2,19,350
4.02,2,24,10
4.03,2,26,20
4.04,2,25,377
4.05,2,22,67
4.06,2,5,285
4.07,2,13,209
4.08,2,21,384
4.09,2,14,475
4.1,2,10,82
4.11,2,17,420
4.12,2,27,158
4.13,2,20,168
4.14,2,28,41
4.15,2,28,282
4.16,2,27,109
4.17,2,13,23
4.18,2,24,498
5.01,2,28,228
5.02,2,20,78
5.03,2,27,483
5.04,2,17,289
5.05,2,10,413
5.06,2,14,445
5.07,2,21,366
5.08,2,13,210
5.09,2,5,284
5.1,2,22,486
5.11,2,25,307
5.12,2,26,301
5.13,2,24,280
5.14,2,19,68
5.15,2,24,146
6.01,2,19,385
6.02,2,24,211
6.03,2,26,61
6.04,2,25,129
6.05,2,22,464
6.06,2,5,412
6.07,2,13,449
6.08,2,21,16
6.09,2,14,125
6.1,2,10,245
6.11,2,17,212
6.12,2,27,432
6.13,2,20,251
6.14,2,28,54
6.15,2,28,120
6.16,2,24,368
7.01,2,28,386
7.02,2,20,45
7.03,2,27,178
7.04,2,10,488
7.05,2,14,387
7.06,2,21,266
7.07,2,13,427
7.08,2,5,224
7.09,2,22,87
7.1,2,25,494
7.11,2,26,349
7.12,2,24,315
7.13,2,19,274
7.14,2,24,283
7.15,2,26,193
8.01,2,19,328
8.02,2,24,346
8.03,2,26,314
8.04,2,25,160
8.05,2,22,51
8.06,2,5,180
8.07,2,13,424
8.08,2,21,418
8.09,2,14,55
8.1,2,10,113
8.11,2,17,56
8.12,2,27,213
8.13,2,20,53
8.14,2,28,181
8.15,2,28,478
9.01,2,28,429
9.02,2,20,482
9.03,2,27,243
9.04,2,17,373
9.05,2,10,6
9.06,2,14,22
9.07,2,21,388
9.08,2,13,499
9.09,2,5,214
9.1,2,22,199
9.11,2,25,389
9.12,2,26,405
9.13,2,24,490
9.14,2,19,85
10.01,2,19,215
10.02,2,24,401
10.03,2,26,152
10.04,2,27,311
10.05,2,22,505
10.06,2,5,175
10.07,2,13,189
10.08,2,21,295
10.09,2,14,151
10.1,2,17,321
10.11,2,27,337
10.12,2,20,138
10.13,2,28,329
11.01,2,28,489
11.02,2,20,147
11.03,2,27,25
11.04,2,17,49
11.05,2,10,293
11.06,2,14,262
11.07,2,21,187
11.08,2,13,273
11.09,2,5,74
11.1,2,22,254
11.11,2,25,63
11.12,2,26,246
11.13,2,19,250
12.01,2,19,312
12.02,2,24,290
12.03,2,27,257
12.04,2,25,485
12.05,2,22,357
12.06,2,5,410
12.07,2,21,468
12.08,2,14,216
12.09,2,10,278
12.1,2,17,453
12.11,2,27,365
12.12,2,20,229
12.13,2,28,458
12.14,2,24,29
13.01,2,28,217
13.02,2,20,439
13.03,2,27,322
13.04,2,17,491
13.05,2,10,115
13.06,2,14,390
13.07,2,21,325
13.08,2,13,76
13.09,2,22,506
13.1,2,25,466
13.11,2,26,496
13.12,2,24,170
13.13,2,19,11
14.01,2,19,256
14.02,2,26,258
14.03,2,25,100
14.04,2,22,507
14.05,2,5,7
14.06,2,13,84
14.07,2,21,313
14.08,2,14,200
14.09,2,10,348
14.1,2,17,320
14.11,2,27,105
14.12,2,20,391
14.13,2,28,249
15.01,2,20,169
15.02,2,27,31
15.03,2,17,205
15.04,2,10,455
15.05,2,14,95
15.06,2,21,347
15.07,2,13,306
15.08,2,5,103
15.09,2,22,440
15.1,2,25,218
15.11,2,26,219
15.12,2,24,442
15.13,2,19,179
15.14,2,5,352
16.01,2,19,470
16.02,2,24,272
16.03,2,26,474
16.04,2,25,140
16.05,2,22,379
16.06,2,5,469
16.07,2,13,142
16.08,2,21,287
16.09,2,14,400
16.1,2,10,292
16.11,2,17,132
16.12,2,27,294
16.13,2,20,502
16.14,2,28,345
17.01,2,28,260
17.02,2,20,237
17.03,2,17,335
17.04,2,10,392
17.05,2,14,497
17.06,2,21,421
17.07,2,13,393
17.08,2,5,438
17.09,2,22,277
17.1,2,25,342
17.11,2,19,269
18.01,2,19,508
18.02,2,24,182
18.03,2,26,323
18.04,2,25,276
18.05,2,22,509
18.06,2,5,69
18.07,2,13,319
18.08,2,21,341
18.09,2,14,166
18.1,2,10,504
18.11,2,17,394
18.12,2,19,378
18.13,2,20,334
19.01,2,20,192
19.02,2,17,50
19.03,2,10,231
19.04,2,14,380
19.05,2,21,247
19.06,2,13,375
19.07,2,5,255
19.08,2,22,220
19.09,2,25,480
19.1,2,26,452
19.11,2,19,510
20.01,2,25,190
20.02,2,26,395
20.03,2,25,297
20.04,2,22,396
20.05,2,5,407
20.06,2,13,
20.07,2,21,
20.08,2,14,
20.09,2,10,
20.1,2,17,
20.11,2,20,
20.12,2,17,
